Method,AR,Norm,Silhouette
Spectral,1.0,1.0,0.32777156073225694
KMeans_raw,0.25209598162646163,0.19140556545450305,0.4817737746708774
Spectral,0.484483902631826,0.3860865016531579,0.46288946451649216
Spectral,1.0,1.0,0.32777156073225694
